patient_id,genes,similarities
Group_1,ENSG00000147251,0.3438955247402191
Group_1,ENSG00000140497,0.32888108491897583
Group_1,ENSG00000143119,0.42153894901275635
Group_1,ENSG00000171943,0.23037883639335632
Group_1,ENSG00000108846,0.393099844455719
Group_1,ENSG00000135299,0.4414331316947937
Group_1,ENSG00000087076,0.32225269079208374
Group_1,ENSG00000177034,0.38915422558784485
Group_1,ENSG00000137563,0.45356428623199463
Group_1,ENSG00000103888,0.46725666522979736
Group_1,ENSG00000153902,0.6167922616004944
Group_1,ENSG00000136881,0.42710235714912415
Group_1,ENSG00000173542,0.5108003616333008
Group_1,ENSG00000099957,0.42056775093078613
Group_1,ENSG00000140450,0.34176191687583923
Group_1,ENSG00000164111,0.5378715395927429
Group_1,ENSG00000121406,0.3957597017288208
Group_1,ENSG00000013619,0.5109131336212158
Group_1,ENSG00000121417,0.368778795003891
Group_1,ENSG00000180479,0.37235504388809204
Group_1,ENSG00000076716,0.565584659576416
Group_1,ENSG00000162341,0.48711803555488586
Group_1,ENSG00000119326,0.5289450287818909
Group_1,ENSG00000080371,0.49366825819015503
Group_1,ENSG00000181788,0.48547446727752686
Group_1,ENSG00000034152,0.47416168451309204
Group_1,ENSG00000143653,0.45758581161499023
Group_1,ENSG00000101161,0.4964889585971832
Group_1,ENSG00000106113,0.2588338851928711
Group_1,ENSG00000165209,0.4924364686012268
Group_1,ENSG00000151135,0.28631097078323364
Group_1,ENSG00000070182,0.5553649663925171
Group_1,ENSG00000151651,0.29921793937683105
Group_1,ENSG00000131446,0.3256389796733856
Group_1,ENSG00000153140,0.4603596329689026
Group_1,ENSG00000128641,0.48800283670425415
Group_1,ENSG00000049130,0.47781187295913696
Group_1,ENSG00000121481,0.5466439723968506
Group_1,ENSG00000147905,0.3840511441230774
Group_1,ENSG00000174010,0.46171388030052185
Group_1,ENSG00000092208,0.4252634644508362
Group_1,ENSG00000165704,0.5268062353134155
Group_1,ENSG00000008405,0.46791672706604004
Group_1,ENSG00000182324,0.3195130527019501
Group_1,ENSG00000188596,0.361960232257843
Group_1,ENSG00000092969,0.5796427726745605
Group_1,ENSG00000139726,0.41592198610305786
Group_1,ENSG00000143641,0.4881219267845154
Group_1,ENSG00000196632,0.4622159004211426
Group_1,ENSG00000155719,0.4405887722969055
Group_1,ENSG00000184916,0.5709641575813293
Group_1,ENSG00000108018,0.3050486743450165
Group_1,ENSG00000160539,0.3135007619857788
